			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,01	0,65		28,68	142,32	145,18	24,89	131,92	134,24	8,62	46,70	47,49	1,38	79,32		5	129,25	0,06	0,77	7,51	0,00	1,22	11,04		""	""	""		"#N/A"	"#N/A"	47		145,17	154,81
0,01	0,66		28,30	140,21	143,03	25,17	133,32	135,67	8,87	48,03	48,84	1,38	79,31		5	127,75	0,06	0,76	7,50	0,00	1,22	11,27		""	""	""		"#N/A"	"#N/A"	48		143,02	152,66
0,01	0,67		27,92	138,09	140,89	25,45	134,70	137,08	9,12	49,37	50,20	1,38	79,30		5	126,25	0,06	0,76	7,49	0,00	1,22	11,50		""	""	""		"#N/A"	"#N/A"	49		140,87	150,51
0,01	0,68		27,54	135,97	138,73	25,72	136,06	138,47	9,38	50,72	51,58	1,38	79,29		5	124,75	0,06	0,76	7,49	0,00	1,22	11,74		""	""	""		"#N/A"	"#N/A"	51		138,72	148,36
0,01	0,69		27,16	133,85	136,58	26,00	137,40	139,84	9,64	52,09	52,97	1,38	79,29		5	123,25	0,06	0,76	7,48	0,00	1,22	11,97		""	""	""		"#N/A"	"#N/A"	52		136,57	146,20
0,01	0,70		26,78	131,72	134,42	26,26	138,71	141,18	9,90	53,47	54,38	1,38	79,28		5	121,75	0,06	0,76	7,48	0,00	1,22	12,20		""	""	""		"#N/A"	"#N/A"	53		134,41	144,05
0,01	0,71		26,39	129,60	132,26	26,53	140,01	142,50	10,16	54,86	55,80	1,38	79,27		5	120,25	0,06	0,76	7,47	0,00	1,22	12,43		""	""	""		"#N/A"	"#N/A"	55		132,25	141,88
0,01	0,72		26,01	127,47	130,09	26,79	141,29	143,80	10,43	56,27	57,23	1,38	79,26		5	118,75	0,06	0,76	7,47	0,00	1,22	12,65		""	""	""		"#N/A"	"#N/A"	56		130,08	139,72
0,01	0,73		25,62	125,34	127,93	27,04	142,54	145,08	10,70	57,69	58,67	1,38	79,26		5	117,25	0,06	0,76	7,46	0,00	1,22	12,88		""	""	""		"#N/A"	"#N/A"	58		127,92	137,55
0,01	0,74		25,24	123,20	125,76	27,30	143,77	146,34	10,97	59,12	60,13	1,38	79,25		5	115,75	0,06	0,76	7,45	0,00	1,22	13,10		""	""	""		"#N/A"	"#N/A"	59		125,75	135,39
0,01	0,75		24,85	121,07	123,59	27,54	144,98	147,58	11,24	60,56	61,60	1,38	79,24		5	114,25	0,05	0,76	7,45	0,00	1,22	13,32		""	""	""		"#N/A"	"#N/A"	61		123,58	133,22
0,01	0,76		24,46	118,93	121,42	27,79	146,17	148,79	11,52	62,02	63,08	1,38	79,24		5	112,75	0,05	0,76	7,44	0,00	1,22	13,54		""	""	""		"#N/A"	"#N/A"	62		121,41	131,04
0,01	0,77		24,07	116,79	119,25	28,03	147,34	149,98	11,80	63,49	64,57	1,38	79,23		5	111,25	0,05	0,76	7,44	0,00	1,22	13,75		""	""	""		"#N/A"	"#N/A"	63		119,23	128,87
0,01	0,78		23,68	114,65	117,07	28,27	148,49	151,15	12,08	64,97	66,08	1,38	79,22		5	109,75	0,05	0,76	7,43	0,00	1,22	13,97		""	""	""		"#N/A"	"#N/A"	65		117,06	126,70
0,01	0,79		23,29	112,51	114,90	28,50	149,61	152,30	12,37	66,46	67,60	1,38	79,21		5	108,25	0,05	0,76	7,43	0,00	1,22	14,18		""	""	""		"#N/A"	"#N/A"	66		114,88	124,52
0,01	0,80		22,89	110,37	112,72	28,73	150,71	153,43	12,65	67,96	69,13	1,38	79,21		5	106,75	0,05	0,76	7,42	0,00	1,22	14,38		""	""	""		"#N/A"	"#N/A"	68		112,71	122,34
0,01	0,81		22,50	108,23	110,54	28,95	151,80	154,53	12,94	69,47	70,66	1,38	79,20		5	105,25	0,05	0,76	7,42	0,00	1,22	14,59		""	""	""		"#N/A"	"#N/A"	69		110,53	120,17
0,01	0,82		22,11	106,09	108,37	29,17	152,86	155,62	13,23	70,99	72,22	1,38	79,19		5	103,75	0,05	0,76	7,41	0,00	1,22	14,79		""	""	""		"#N/A"	"#N/A"	71		108,35	117,99
0,01	0,83		21,71	103,95	106,19	29,39	153,90	156,68	13,52	72,53	73,78	1,38	79,19		5	102,25	0,05	0,76	7,41	0,00	1,22	14,99		""	""	""		"#N/A"	"#N/A"	73		106,17	115,81
0,01	0,84		21,32	101,80	104,01	29,60	154,91	157,72	13,82	74,07	75,35	1,38	79,18		5	100,75	0,05	0,75	7,40	0,00	1,22	15,19		""	""	""		"#N/A"	"#N/A"	74		104,00	113,63
0,01	0,85		20,92	99,66	101,83	29,81	155,91	158,74	14,12	75,63	76,93	1,38	79,17		5	99,25	0,05	0,75	7,40	0,00	1,22	15,39		""	""	""		"#N/A"	"#N/A"	76		101,82	111,45
