			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,10	15,80		-0,48	-8,73	8,74	15,89	-36,94	40,21	314,76	734,97	799,53	-1,16	-66,72		23	0,00	0,00	0,75	7,36	0,00	1,14	0,92		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,79	-1,18
0,10	15,90		-0,49	-8,68	8,69	15,84	-37,80	40,99	316,35	731,23	796,73	-1,17	-67,26		23	0,00	0,00	0,75	7,36	0,00	1,14	0,96		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,78	-1,23
0,10	16,00		-0,50	-8,63	8,64	15,79	-38,67	41,77	317,93	727,41	793,85	-1,18	-67,79		23	0,00	0,00	0,75	7,36	0,00	1,14	1,00		""	""	""		16	318	"#N/A"		7,77	-1,28
0,10	16,10		-0,50	-8,58	8,59	15,74	-39,52	42,54	319,51	723,50	790,91	-1,19	-68,28		23	0,00	0,00	0,75	7,36	0,00	1,14	1,04		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,75	-1,33
0,10	16,20		-0,51	-8,53	8,54	15,69	-40,38	43,32	321,08	719,50	787,89	-1,20	-68,76		23	0,00	0,00	0,75	7,36	0,00	1,14	1,07		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,73	-1,38
0,10	16,30		-0,52	-8,47	8,49	15,64	-41,22	44,09	322,65	715,42	784,81	-1,21	-69,23		23	0,00	0,00	0,75	7,36	0,00	1,14	1,11		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,71	-1,43
0,10	16,40		-0,53	-8,42	8,44	15,59	-42,07	44,86	324,21	711,26	781,66	-1,22	-69,67		23	0,00	0,00	0,75	7,36	0,00	1,14	1,15		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,69	-1,48
0,10	16,50		-0,53	-8,37	8,39	15,53	-42,90	45,63	325,76	707,01	778,45	-1,22	-70,10		23	0,00	0,00	0,75	7,36	0,00	1,14	1,19		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,66	-1,54
0,10	16,60		-0,54	-8,31	8,33	15,48	-43,73	46,39	327,31	702,68	775,17	-1,23	-70,51		23	0,00	0,00	0,75	7,36	0,00	1,14	1,23		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,63	-1,59
0,10	16,70		-0,55	-8,26	8,28	15,42	-44,56	47,15	328,86	698,26	771,83	-1,24	-70,91		23	0,00	0,00	0,75	7,36	0,00	1,14	1,28		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,60	-1,65
0,10	16,80		-0,56	-8,20	8,22	15,37	-45,38	47,91	330,40	693,77	768,42	-1,24	-71,29		23	0,00	0,00	0,75	7,36	0,00	1,14	1,32		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,57	-1,70
0,10	16,90		-0,56	-8,15	8,17	15,31	-46,20	48,67	331,93	689,19	764,96	-1,25	-71,66		23	0,00	0,00	0,75	7,36	0,00	1,14	1,36		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,53	-1,76
0,10	17,00		-0,57	-8,09	8,11	15,25	-47,00	49,42	333,46	684,53	761,43	-1,26	-72,02		23	0,00	0,00	0,75	7,36	0,00	1,14	1,40		""	""	""		17	333	"#N/A"		7,50	-1,81
0,10	17,10		-0,58	-8,03	8,05	15,20	-47,81	50,16	334,98	679,79	757,84	-1,26	-72,37		23	0,00	0,00	0,75	7,36	0,00	1,14	1,45		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,46	-1,87
0,10	17,20		-0,58	-7,97	7,99	15,14	-48,60	50,91	336,50	674,97	754,19	-1,27	-72,70		23	0,00	0,00	0,75	7,36	0,00	1,15	1,49		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,42	-1,93
0,10	17,30		-0,59	-7,91	7,93	15,08	-49,40	51,65	338,01	670,07	750,49	-1,27	-73,02		23	0,00	0,00	0,75	7,36	0,00	1,15	1,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,38	-1,99
0,10	17,40		-0,60	-7,85	7,88	15,02	-50,18	52,38	339,51	665,09	746,73	-1,28	-73,34		23	0,00	0,00	0,75	7,36	0,00	1,15	1,58		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,34	-2,05
0,10	17,50		-0,60	-7,79	7,82	14,96	-50,96	53,11	341,01	660,03	742,92	-1,29	-73,64		23	0,00	0,00	0,75	7,36	0,00	1,15	1,62		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,29	-2,11
0,10	17,60		-0,61	-7,73	7,76	14,90	-51,73	53,84	342,51	654,89	739,05	-1,29	-73,94		23	0,00	0,00	0,75	7,36	0,00	1,15	1,67		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,25	-2,17
0,10	17,70		-0,62	-7,67	7,69	14,84	-52,50	54,56	343,99	649,68	735,13	-1,30	-74,22		23	0,00	0,00	0,75	7,36	0,00	1,15	1,72		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,20	-2,23
0,10	17,80		-0,62	-7,61	7,63	14,77	-53,26	55,27	345,47	644,40	731,16	-1,30	-74,50		23	0,00	0,00	0,75	7,36	0,00	1,15	1,76		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,15	-2,29
0,10	17,90		-0,63	-7,55	7,57	14,71	-54,02	55,98	346,95	639,03	727,14	-1,30	-74,77		23	0,00	0,00	0,75	7,36	0,00	1,15	1,81		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,10	-2,35
0,10	18,00		-0,63	-7,48	7,51	14,65	-54,76	56,69	348,42	633,59	723,07	-1,31	-75,03		23	0,00	0,00	0,75	7,36	0,00	1,15	1,86		""	""	""		18	348	"#N/A"		7,05	-2,41
0,10	18,10		-0,64	-7,42	7,45	14,58	-55,51	57,39	349,88	628,08	718,96	-1,31	-75,28		23	0,00	0,00	0,75	7,36	0,00	1,15	1,90		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,00	-2,47
0,10	18,20		-0,64	-7,36	7,38	14,52	-56,24	58,09	351,33	622,49	714,79	-1,32	-75,53		23	0,00	0,00	0,75	7,36	0,00	1,15	1,95		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,95	-2,54
0,10	18,30		-0,65	-7,29	7,32	14,45	-56,97	58,78	352,78	616,83	710,59	-1,32	-75,76		23	0,00	0,00	0,75	7,36	0,00	1,15	2,00		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,90	-2,60
0,10	18,40		-0,66	-7,23	7,26	14,39	-57,69	59,46	354,22	611,10	706,34	-1,33	-76,00		23	0,00	0,00	0,75	7,36	0,00	1,15	2,05		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,84	-2,66
0,10	18,50		-0,66	-7,16	7,19	14,32	-58,41	60,14	355,66	605,29	702,05	-1,33	-76,22		23	0,00	0,00	0,75	7,36	0,00	1,15	2,09		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,79	-2,73
0,10	18,60		-0,67	-7,10	7,13	14,26	-59,12	60,81	357,09	599,42	697,72	-1,33	-76,44		23	0,00	0,00	0,75	7,36	0,00	1,15	2,14		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,74	-2,79
0,10	18,70		-0,67	-7,03	7,06	14,19	-59,82	61,48	358,51	593,47	693,35	-1,34	-76,66		23	0,00	0,00	0,75	7,36	0,00	1,15	2,19		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,68	-2,86
0,10	18,80		-0,67	-6,97	7,00	14,12	-60,52	62,15	359,92	587,45	688,95	-1,34	-76,87		23	0,00	0,00	0,75	7,36	0,00	1,16	2,24		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,62	-2,92
0,10	18,90		-0,68	-6,90	6,93	14,05	-61,21	62,80	361,33	581,37	684,51	-1,35	-77,07		23	0,00	0,00	0,75	7,36	0,00	1,16	2,29		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,57	-2,99
0,10	19,00		-0,68	-6,83	6,87	13,99	-61,89	63,45	362,74	575,21	680,03	-1,35	-77,27		23	0,00	0,00	0,75	7,36	0,00	1,16	2,34		""	""	""		19	363	"#N/A"		6,51	-3,05
0,10	19,10		-0,69	-6,77	6,80	13,92	-62,57	64,10	364,13	568,99	675,53	-1,35	-77,46		23	0,00	0,00	0,75	7,36	0,00	1,16	2,39		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,45	-3,12
0,10	19,20		-0,69	-6,70	6,74	13,85	-63,24	64,74	365,52	562,70	670,99	-1,36	-77,65		23	0,00	0,00	0,75	7,36	0,00	1,16	2,44		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,39	-3,18
0,10	19,30		-0,70	-6,64	6,67	13,78	-63,90	65,37	366,90	556,34	666,43	-1,36	-77,83		23	0,00	0,00	0,75	7,36	0,00	1,16	2,49		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,33	-3,25
0,10	19,40		-0,70	-6,57	6,61	13,71	-64,56	66,00	368,27	549,92	661,84	-1,36	-78,01		23	0,00	0,00	0,75	7,36	0,00	1,16	2,54		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,27	-3,32
0,10	19,50		-0,70	-6,50	6,54	13,64	-65,21	66,62	369,64	543,43	657,23	-1,36	-78,19		23	0,00	0,00	0,75	7,36	0,00	1,16	2,59		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,21	-3,38
0,10	19,60		-0,71	-6,43	6,47	13,57	-65,85	67,24	371,00	536,87	652,59	-1,37	-78,36		23	0,00	0,00	0,75	7,36	0,00	1,16	2,64		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,15	-3,45
0,10	19,70		-0,71	-6,37	6,41	13,50	-66,49	67,85	372,36	530,26	647,94	-1,37	-78,53		23	0,00	0,00	0,75	7,36	0,00	1,16	2,69		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,09	-3,51
0,10	19,80		-0,71	-6,30	6,34	13,42	-67,12	68,45	373,70	523,58	643,26	-1,37	-78,69		23	0,00	0,00	0,75	7,36	0,00	1,16	2,74		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,03	-3,58
0,10	19,90		-0,72	-6,23	6,27	13,35	-67,74	69,05	375,04	516,83	638,57	-1,38	-78,85		23	0,00	0,00	0,75	7,36	0,00	1,16	2,79		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,97	-3,65
0,10	20,00		-0,72	-6,17	6,21	13,28	-68,36	69,64	376,37	510,03	633,86	-1,38	-79,01		23	0,00	0,00	0,75	7,36	0,00	1,16	2,84		""	""	""		20	376	"#N/A"		5,91	-3,71
0,10	20,10		-0,72	-6,10	6,14	13,21	-68,97	70,22	377,70	503,16	629,15	-1,38	-79,16		23	0,00	0,00	0,75	7,36	0,00	1,16	2,89		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,85	-3,78
0,10	20,20		-0,72	-6,03	6,08	13,14	-69,57	70,80	379,01	496,23	624,42	-1,38	-79,31		23	0,00	0,00	0,75	7,36	0,00	1,17	2,93		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,79	-3,85
0,10	20,30		-0,73	-5,96	6,01	13,06	-70,17	71,38	380,32	489,25	619,68	-1,39	-79,45		23	0,00	0,00	0,75	7,36	0,00	1,17	2,98		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,73	-3,91
0,10	20,40		-0,73	-5,90	5,94	12,99	-70,76	71,94	381,63	482,20	614,94	-1,39	-79,60		23	0,00	0,00	0,75	7,36	0,00	1,17	3,03		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,66	-3,98
0,10	20,50		-0,73	-5,83	5,88	12,92	-71,34	72,50	382,92	475,10	610,20	-1,39	-79,74		23	0,00	0,00	0,75	7,36	0,00	1,17	3,08		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,60	-4,05
0,10	20,60		-0,73	-5,76	5,81	12,85	-71,92	73,06	384,21	467,93	605,46	-1,39	-79,87		23	0,00	0,00	0,75	7,36	0,00	1,17	3,13		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,54	-4,11
0,10	20,70		-0,73	-5,70	5,74	12,77	-72,49	73,61	385,49	460,71	600,71	-1,40	-80,01		23	0,00	0,00	0,75	7,36	0,00	1,17	3,18		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,48	-4,18
0,10	20,80		-0,74	-5,63	5,68	12,70	-73,05	74,15	386,76	453,43	595,98	-1,40	-80,14		23	0,00	0,00	0,75	7,36	0,00	1,17	3,23		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,42	-4,24
0,10	20,90		-0,74	-5,56	5,61	12,62	-73,61	74,68	388,03	446,10	591,25	-1,40	-80,27		23	0,00	0,00	0,75	7,36	0,00	1,17	3,28		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,35	-4,31
0,10	21,00		-0,74	-5,50	5,55	12,55	-74,16	75,21	389,29	438,71	586,53	-1,40	-80,39		23	0,00	0,00	0,75	7,36	0,00	1,17	3,33		""	""	""		21	389	"#N/A"		5,29	-4,38
0,10	21,10		-0,74	-5,43	5,48	12,48	-74,70	75,74	390,54	431,27	581,82	-1,41	-80,52		23	0,00	0,00	0,75	7,36	0,00	1,17	3,38		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,23	-4,44
0,10	21,20		-0,74	-5,36	5,42	12,40	-75,24	76,25	391,78	423,77	577,13	-1,41	-80,64		23	0,00	0,00	0,75	7,36	0,00	1,17	3,43		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,17	-4,51
0,10	21,30		-0,74	-5,30	5,35	12,33	-75,77	76,76	393,02	416,22	572,46	-1,41	-80,76		23	0,00	0,00	0,75	7,36	0,00	1,18	3,48		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,11	-4,57
0,10	21,40		-0,74	-5,23	5,29	12,25	-76,29	77,27	394,25	408,62	567,81	-1,41	-80,88		23	0,00	0,00	0,75	7,36	0,00	1,18	3,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,05	-4,64
0,10	21,50		-0,75	-5,17	5,22	12,18	-76,81	77,77	395,47	400,96	563,18	-1,41	-80,99		23	0,00	0,00	0,75	7,36	0,00	1,18	3,57		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,98	-4,70
0,10	21,60		-0,75	-5,10	5,16	12,10	-77,32	78,26	396,69	393,26	558,58	-1,42	-81,10		23	0,00	0,00	0,75	7,36	0,00	1,18	3,62		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,92	-4,77
0,10	21,70		-0,75	-5,04	5,09	12,03	-77,82	78,75	397,89	385,50	554,01	-1,42	-81,21		23	0,00	0,00	0,75	7,36	0,00	1,18	3,67		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,86	-4,83
0,10	21,80		-0,75	-4,97	5,03	11,95	-78,32	79,23	399,09	377,69	549,48	-1,42	-81,32		23	0,00	0,00	0,75	7,36	0,00	1,18	3,72		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,80	-4,89
0,10	21,90		-0,75	-4,91	4,97	11,88	-78,81	79,70	400,28	369,84	544,98	-1,42	-81,43		23	0,00	0,00	0,75	7,36	0,00	1,18	3,77		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,74	-4,96
0,10	22,00		-0,75	-4,84	4,90	11,80	-79,29	80,17	401,47	361,93	540,53	-1,42	-81,53		23	0,00	0,00	0,75	7,36	0,00	1,18	3,81		""	""	""		22	401	"#N/A"		4,68	-5,02
0,10	22,10		-0,75	-4,78	4,84	11,73	-79,77	80,63	402,64	353,98	536,12	-1,42	-81,63		23	0,00	0,00	0,75	7,36	0,00	1,18	3,86		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,62	-5,08
0,10	22,20		-0,75	-4,72	4,78	11,66	-80,24	81,09	403,81	345,98	531,76	-1,43	-81,74		23	0,00	0,00	0,75	7,36	0,00	1,18	3,91		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,56	-5,15
0,10	22,30		-0,75	-4,65	4,71	11,58	-80,71	81,54	404,98	337,93	527,45	-1,43	-81,83		23	0,00	0,00	0,75	7,36	0,00	1,18	3,95		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,50	-5,21
0,10	22,40		-0,75	-4,59	4,65	11,51	-81,17	81,98	406,13	329,84	523,20	-1,43	-81,93		23	0,00	0,00	0,75	7,36	0,00	1,19	4,00		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,44	-5,27
0,10	22,50		-0,75	-4,53	4,59	11,43	-81,62	82,42	407,28	321,70	519,00	-1,43	-82,03		23	0,00	0,00	0,75	7,36	0,00	1,19	4,05		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,38	-5,33
0,10	22,60		-0,75	-4,47	4,53	11,36	-82,07	82,85	408,42	313,51	514,87	-1,43	-82,12		23	0,00	0,00	0,75	7,36	0,00	1,19	4,09		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,32	-5,40
0,10	22,70		-0,75	-4,40	4,47	11,28	-82,51	83,28	409,55	305,28	510,81	-1,43	-82,21		23	0,00	0,00	0,75	7,36	0,00	1,19	4,14		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,26	-5,46
0,10	22,80		-0,75	-4,34	4,41	11,21	-82,94	83,70	410,67	297,01	506,82	-1,44	-82,31		23	0,00	0,00	0,75	7,36	0,00	1,19	4,18		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,20	-5,52
0,10	22,90		-0,75	-4,28	4,35	11,13	-83,37	84,11	411,79	288,70	502,91	-1,44	-82,40		23	0,00	0,00	0,75	7,36	0,00	1,19	4,23		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,14	-5,58
0,10	23,00		-0,75	-4,22	4,29	11,06	-83,79	84,52	412,90	280,34	499,07	-1,44	-82,48		23	0,00	0,00	0,75	7,36	0,00	1,19	4,27		""	""	""		23	413	"#N/A"		4,09	-5,64
0,10	23,10		-0,75	-4,16	4,23	10,98	-84,21	84,92	414,00	271,94	495,32	-1,44	-82,57		23	0,00	0,00	0,75	7,36	0,00	1,19	4,32		""	""	""		"#N/A"	"#N/A"	"#N/A"		4,03	-5,70
0,10	23,20		-0,74	-4,10	4,17	10,91	-84,62	85,32	415,09	263,50	491,66	-1,44	-82,65		23	0,00	0,00	0,75	7,36	0,00	1,19	4,36		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,97	-5,76
0,10	23,30		-0,74	-4,04	4,11	10,83	-85,02	85,71	416,18	255,01	488,10	-1,44	-82,74		23	0,00	0,00	0,75	7,36	0,00	1,19	4,41		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,91	-5,82
0,10	23,40		-0,74	-3,98	4,05	10,76	-85,42	86,10	417,26	246,49	484,63	-1,45	-82,82		23	0,00	0,00	0,75	7,36	0,00	1,20	4,45		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,86	-5,87
0,10	23,50		-0,74	-3,92	3,99	10,69	-85,81	86,48	418,33	237,93	481,26	-1,45	-82,90		23	0,00	0,00	0,75	7,36	0,00	1,20	4,49		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,80	-5,93
0,10	23,60		-0,74	-3,87	3,94	10,61	-86,20	86,85	419,40	229,33	478,00	-1,45	-82,98		23	0,00	0,00	0,75	7,36	0,00	1,20	4,54		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,74	-5,99
0,10	23,70		-0,74	-3,81	3,88	10,54	-86,58	87,22	420,46	220,69	474,85	-1,45	-83,06		23	0,00	0,00	0,75	7,36	0,00	1,20	4,58		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,69	-6,05
0,10	23,80		-0,74	-3,75	3,82	10,46	-86,96	87,58	421,51	212,01	471,82	-1,45	-83,14		23	0,00	0,00	0,75	7,36	0,00	1,20	4,62		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,63	-6,10
0,10	23,90		-0,74	-3,69	3,77	10,39	-87,33	87,94	422,55	203,30	468,91	-1,45	-83,21		23	0,00	0,00	0,75	7,36	0,00	1,20	4,66		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,58	-6,16
0,10	24,00		-0,73	-3,64	3,71	10,32	-87,69	88,29	423,58	194,55	466,12	-1,45	-83,29		23	0,00	0,00	0,75	7,36	0,00	1,20	4,70		""	""	""		24	424	"#N/A"		3,52	-6,22
0,10	24,10		-0,73	-3,58	3,66	10,24	-88,05	88,64	424,61	185,76	463,47	-1,45	-83,36		23	0,00	0,00	0,75	7,36	0,00	1,20	4,75		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,47	-6,27
0,10	24,20		-0,73	-3,53	3,60	10,17	-88,40	88,98	425,63	176,94	460,95	-1,46	-83,44		23	0,00	0,00	0,75	7,36	0,00	1,20	4,79		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,42	-6,33
0,10	24,30		-0,73	-3,47	3,55	10,10	-88,75	89,32	426,65	168,08	458,56	-1,46	-83,51		23	0,00	0,00	0,75	7,36	0,00	1,20	4,83		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,36	-6,38
0,10	24,40		-0,73	-3,42	3,49	10,02	-89,09	89,65	427,65	159,19	456,32	-1,46	-83,58		23	0,00	0,00	0,75	7,36	0,00	1,21	4,87		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,31	-6,44
0,10	24,50		-0,73	-3,36	3,44	9,95	-89,43	89,98	428,65	150,26	454,23	-1,46	-83,65		23	0,00	0,00	0,75	7,36	0,00	1,21	4,91		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,26	-6,49
0,10	24,60		-0,72	-3,31	3,39	9,88	-89,76	90,30	429,64	141,30	452,28	-1,46	-83,72		23	0,00	0,00	0,75	7,36	0,00	1,21	4,95		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,21	-6,54
0,10	24,70		-0,72	-3,25	3,33	9,81	-90,08	90,61	430,63	132,31	450,50	-1,46	-83,79		23	0,00	0,00	0,75	7,36	0,00	1,21	4,99		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,16	-6,59
0,10	24,80		-0,72	-3,20	3,28	9,74	-90,40	90,92	431,60	123,29	448,87	-1,46	-83,85		23	0,00	0,00	0,75	7,36	0,00	1,21	5,02		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,11	-6,65
0,10	24,90		-0,72	-3,15	3,23	9,66	-90,72	91,23	432,57	114,23	447,40	-1,46	-83,92		23	0,00	0,00	0,75	7,36	0,00	1,21	5,06		""	""	""		"#N/A"	"#N/A"	"#N/A"		3,05	-6,70
0,10	25,00		-0,71	-3,10	3,18	9,59	-91,03	91,53	433,54	105,15	446,10	-1,47	-83,98		23	0,00	0,00	0,75	7,36	0,00	1,21	5,10		""	""	""		25	434	"#N/A"		3,00	-6,75
0,10	25,10		-0,71	-3,05	3,13	9,52	-91,33	91,83	434,49	96,03	444,98	-1,47	-84,05		23	0,00	0,00	0,75	7,36	0,00	1,21	5,14		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,96	-6,80
0,10	25,20		-0,71	-3,00	3,08	9,45	-91,63	92,12	435,44	86,88	444,02	-1,47	-84,11		23	0,00	0,00	0,75	7,36	0,00	1,21	5,18		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,91	-6,85
0,10	25,30		-0,71	-2,95	3,03	9,38	-91,93	92,40	436,38	77,70	443,25	-1,47	-84,17		23	0,00	0,00	0,75	7,36	0,00	1,22	5,21		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,86	-6,90
0,10	25,40		-0,71	-2,90	2,98	9,31	-92,21	92,68	437,32	68,49	442,65	-1,47	-84,24		23	0,00	0,00	0,75	7,36	0,00	1,22	5,25		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,81	-6,95
0,10	25,50		-0,70	-2,85	2,93	9,24	-92,50	92,96	438,24	59,26	442,23	-1,47	-84,30		23	0,00	0,00	0,75	7,36	0,00	1,22	5,29		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,76	-7,00
0,10	25,60		-0,70	-2,80	2,88	9,17	-92,78	93,23	439,16	49,99	442,00	-1,47	-84,36		23	0,00	0,00	0,75	7,36	0,00	1,22	5,32		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,71	-7,05
0,10	25,70		-0,70	-2,75	2,84	9,10	-93,05	93,50	440,08	40,70	441,96	-1,47	-84,42		23	0,00	0,00	0,75	7,36	0,00	1,22	5,36		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,67	-7,09
0,10	25,80		-0,69	-2,70	2,79	9,03	-93,32	93,76	440,98	31,38	442,10	-1,47	-84,47		23	0,00	0,00	0,75	7,36	0,00	1,22	5,39		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,62	-7,14
0,10	25,90		-0,69	-2,65	2,74	8,96	-93,59	94,02	441,88	22,04	442,43	-1,48	-84,53		23	0,00	0,00	0,75	7,36	0,00	1,22	5,43		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,58	-7,19
0,10	26,00		-0,69	-2,61	2,70	8,89	-93,85	94,27	442,78	12,67	442,96	-1,48	-84,59		23	0,00	0,00	0,75	7,36	0,00	1,22	5,46		""	""	""		26	443	"#N/A"		2,53	-7,24
0,10	26,10		-0,69	-2,56	2,65	8,82	-94,11	94,52	443,66	3,27	443,67	-1,48	-84,64		23	0,00	0,00	0,75	7,36	0,00	1,22	5,49		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,49	-7,28
0,10	26,20		-0,68	-2,52	2,61	8,75	-94,36	94,76	444,54	-6,15	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		"Impact balistique"	""	""		"#N/A"	"#N/A"	"#N/A"		2,44	-7,33
0,00	26,20		-0,68	-2,47	2,56	8,75	-94,36	94,76	444,54	-6,16	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,40	-7,37
0,00	26,20		-0,68	-2,47	2,56	8,75	-94,36	94,76	444,54	-6,17	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,40	-7,37
0,00	26,20		-0,68	-2,47	2,56	8,75	-94,36	94,76	444,54	-6,18	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,40	-7,37
0,00	26,20		-0,68	-2,47	2,56	8,75	-94,36	94,76	444,54	-6,19	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,40	-7,37
0,00	26,20		-0,68	-2,47	2,56	8,75	-94,36	94,76	444,54	-6,20	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,40	-7,37
0,00	26,20		-0,68	-2,47	2,56	8,75	-94,36	94,77	444,54	-6,21	444,58	-1,48	-84,70		23	0,00	0,00	0,75	7,36	0,00	1,23	5,53		""	""	""		"#N/A"	"#N/A"	"#N/A"		2,40	-7,37
